#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (OMR)
1,United States,19687287,20.30%,934.3,5.19,1.37,0.5343
2,China,12791553,13.20%,138.7,5.42,1.43,0.5577
3,India,4443000,4.60%,51.4,5.05,1.33,0.5187
4,Japan,4012877,4.10%,481.5,4.69,1.24,0.4836
5,Russia,3631287,3.70%,383.2,3.41,0.9,0.351
6,Saudi Arabia,3302000,3.40%,1560.2,2.35,0.62,0.2418
7,Brazil,2984000,3.10%,221.9,5.36,1.42,0.5538
8,South Korea,2605440,2.70%,783.4,6.09,1.61,0.6279
9,Canada,2486301,2.60%,1047.6,6.76,1.79,0.6981
10,Germany,2383393,2.50%,444.5,7.65,2.02,0.7878
11,Mexico,2052607,2.10%,255.1,4.36,1.15,0.4485
12,Iran,1803999,1.90%,347.6,0.2,0.05,0.0195
13,France,1705568,1.80%,404.3,8.27,2.19,0.8541
14,Indonesia,1623000,1.70%,95.1,4.48,1.18,0.4602
15,United Kingdom,1583896,1.60%,366.2,8.38,2.22,0.8658
16,Singapore,1357000,1.40%,3679.5,8.71,2.3,0.897
17,Thailand,1302000,1.30%,289.4,5.7,1.51,0.5889
18,Italy,1236628,1.30%,312.5,8.01,2.12,0.8268
19,Spain,1290063,1.30%,424.1,8.35,2.21,0.8619
20,Australia,1114645,1.10%,704.3,5.22,1.38,0.5382
21,Turkey,941861,1.00%,180.9,6.06,1.6,0.624
22,Taiwan,981203,1.00%,636.9,3.94,1.04,0.4056
23,Netherlands,937098,1.00%,846,9.33,2.47,0.9633
24,Egypt,877000,0.90%,142.3,1.97,0.52,0.2028
25,Iraq,857000,0.90%,358.9,1.95,0.51,0.1989
26,United Arab Emirates,896000,0.90%,1467.3,4.15,1.1,0.429
27,South Africa,640000,0.70%,174.6,5.59,1.48,0.5772
28,Argentina,709000,0.70%,249.8,3.96,1.05,0.4095
29,Malaysia,708000,0.70%,353.7,1.76,0.46,0.1794
30,Belgium,631522,0.70%,852.6,8.36,2.21,0.8619
31,Pakistan,556000,0.60%,41.9,3.9,1.03,0.4017
32,Poland,582161,0.60%,234.9,6.8,1.8,0.702
33,Venezuela,598000,0.60%,307.1,0.08,0.02,0.0078
34,Vietnam,478000,0.50%,78.3,5.38,1.42,0.5538
35,Nigeria,428000,0.40%,35.3,1.57,0.42,0.1638
36,Philippines,429000,0.40%,63.4,5.88,1.55,0.6045
37,Colombia,357000,0.40%,113.6,2.28,0.6,0.234
38,Algeria,429000,0.40%,162.2,1.18,0.31,0.1209
39,Chile,351989,0.40%,296.3,5.26,1.39,0.5421
40,Hong Kong,408491,0.40%,864.5,11.35,3,1.17
41,Kuwait,359000,0.40%,1390.9,1.29,0.34,0.1326
42,Ukraine,244000,0.30%,83.7,6.44,1.7,0.663
43,Morocco,275000,0.30%,120,6.36,1.68,0.6552
44,Peru,246000,0.30%,121.9,6.26,1.65,0.6435
45,Ecuador,259000,0.30%,240.8,4.43,1.17,0.4563
46,Kazakhstan,325000,0.30%,279.4,1.8,0.48,0.1872
47,Greece,296101,0.30%,427.6,9.49,2.51,0.9789
48,Austria,262352,0.30%,459.8,8.07,2.13,0.8307
49,Sweden,322109,0.30%,502,8.7,2.3,0.897
50,Romania,200000,0.20%,154.9,6.87,1.82,0.7098
51,Cuba,153000,0.20%,206.9,4.77,1.26,0.4914
52,Hungary,155544,0.20%,244.5,7.6,2.01,0.7839
53,Czech Republic (Czechia),179956,0.20%,259.8,7.56,2,0.78
54,Lebanon,153000,0.20%,349.3,5.41,1.43,0.5577
55,Portugal,236866,0.20%,351.7,8.55,2.26,0.8814
56,Turkmenistan,149000,0.20%,403.4,1.62,0.43,0.1677
57,Switzerland,228194,0.20%,417.5,8.27,2.19,0.8541
58,Denmark,158194,0.20%,424.6,10.04,2.65,1.0335
